model,data_source,graph_source,line_label_source,evaluation_kind,line_evaluation_method,node_count,history_rows,history_start,history_end,train_start,train_end,test_start,test_end,lookback_h,horizon_h,test_ratio,eval_step_h,sample_count,forecast_start_count,mae_mw,rmse_mw,mape_pct,created_at,line_sample_count,line_forecast_start_count,line_utilization_mae_pp,line_utilization_rmse_pp,line_utilization_mape_pct,mean_future_risk_line_count,mean_future_critical_or_overload_line_count,mean_max_line_utilization,max_predicted_line_utilization,model_path,training_history_path,evaluation_summary_path,epochs_requested,epochs_trained,batch_size,validation_split,scaler_path,graph_edge_count,learning_rate,patience,hidden_dim,node_error_summary_path,hybrid_primary,hybrid_secondary,hybrid_primary_weight,hybrid_secondary_weight
baseline,data/processed/grid_node_load_history.csv,data/grid/enhanced/lines.csv,data/processed/grid_line_flow_history.csv,holdout_rolling_24h,predicted_node_load_to_dc_power_flow_vs_label,24,267048,2025-02-04T00:00:00,2026-05-14T12:00:00,2025-02-04T00:00:00,2026-03-05T00:00:00,2026-03-05T01:00:00,2026-05-14T12:00:00,24,24,0.15,24,40056,71,35.60736083984375,53.9015998840332,14.357902526855469,2026-05-29T17:00:46,73436,71,2.2728510200977325,3.520657494664192,14.358838081359863,1.0,0.0,0.701147887323944,0.7034,,,,,,,,,,,,,,,,,
lstm,data/processed/grid_node_load_history.csv,data/grid/enhanced/lines.csv,data/processed/grid_line_flow_history.csv,holdout_rolling_24h,predicted_node_load_to_dc_power_flow_vs_label,24,267048,2025-02-04T00:00:00,2026-05-14T12:00:00,2025-02-04T00:00:00,2026-03-05T00:00:00,2026-03-05T01:00:00,2026-05-14T12:00:00,24,24,0.15,24,40056,71,18.565187454223633,29.862226486206055,7.183132171630859,2026-05-29T17:08:47,73436,71,1.1850270442664623,1.9505221396684647,7.183385848999023,0.971830985915493,0.0,0.6439887323943662,0.7118,models/lstm/model.keras,models/lstm/training_history.csv,models/lstm/evaluation_summary.json,5.0,5.0,512.0,0.1,models/lstm/scalers.pkl,,,,,,,,,
neural_gnn,data/processed/grid_node_load_history.csv,data/grid/enhanced/lines.csv,data/processed/grid_line_flow_history.csv,holdout_rolling_24h,predicted_node_load_to_dc_power_flow_vs_label,24,267048,2025-02-04T00:00:00,2026-05-14T12:00:00,2025-02-04T00:00:00,2026-03-05T00:00:00,2026-03-05T01:00:00,2026-05-14T12:00:00,24,24,0.15,24,40056,71,15.931451797485352,25.808034896850586,5.9856672286987305,2026-05-29T17:15:27,73436,71,0.9957212023437023,1.6606848686933517,6.246547222137451,0.9014084507042254,0.0,0.6287028169014085,0.7239,models/gnn/model.pt,models/gnn/training_history.csv,models/gnn/evaluation_summary.json,5.0,5.0,512.0,,,44.0,0.003,5.0,32.0,models/gnn/node_error_summary.csv,,,,
hybrid_neural_gnn,data/processed/grid_node_load_history.csv,data/grid/enhanced/lines.csv,data/processed/grid_line_flow_history.csv,holdout_rolling_24h,predicted_node_load_to_dc_power_flow_vs_label,24,267048,2025-02-04T00:00:00,2026-05-14T12:00:00,2025-02-04T00:00:00,2026-03-05T00:00:00,2026-03-05T01:00:00,2026-05-14T12:00:00,24,24,0.15,24,40056,71,16.356128692626953,26.838237762451172,6.321998596191406,2026-05-29T17:23:03,73436,71,1.0410653427243233,1.7522968351840973,6.289885997772217,0.971830985915493,0.0,0.6368309859154928,0.7096,models/lstm/model.keras + models/gnn/model.pt,models/lstm/training_history.csv + models/gnn/training_history.csv,data/processed/model_evaluation_summary.csv,,,,,,,,,,,lstm,neural_gnn,0.65,0.35
