epoch,loss,learning_rate,mae,val_loss,val_mae
1,0.0270030926913023,0.0010000000474974513,0.11710530519485474,0.008118847385048866,0.06720136851072311
2,0.00985539797693491,0.0010000000474974513,0.07614690810441971,0.005751042626798153,0.055421020835638046
3,0.007696669548749924,0.0010000000474974513,0.06674012541770935,0.005027946084737778,0.05128873512148857
4,0.006480923853814602,0.0010000000474974513,0.0606301911175251,0.004325343295931816,0.04649456962943077
5,0.005715718027204275,0.0010000000474974513,0.05641893669962883,0.004031050950288773,0.044825728982686996
